shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
237155.143237155,49.2375428,7.0561765,2
237155.143237155,49.2547174,7.0403373,3
237155.143237155,49.276422,7.0329183,4
237155.144237155,49.2270846,7.0207438,0
237155.144237155,49.2257493,7.0355784,1
237155.144237155,49.2375428,7.0561765,2
237155.144237155,49.2547174,7.0403373,3
237155.144237155,49.276422,7.0329183,4
237155.145237155,49.2270846,7.0207438,0
237155.145237155,49.2257493,7.0355784,1
237155.145237155,49.2375428,7.0561765,2
237155.145237155,49.2547174,7.0403373,3
237155.145237155,49.276422,7.0329183,4
237155.146237155,49.2270846,7.0207438,0
237155.146237155,49.2257493,7.0355784,1
237155.146237155,49.2375428,7.0561765,2
237155.146237155,49.2547174,7.0403373,3
237155.146237155,49.276422,7.0329183,4
237155.147237155,49.2270846,7.0207438,0
237155.147237155,49.2257493,7.0355784,1
237155.147237155,49.2375428,7.0561765,2
237155.147237155,49.2547174,7.0403373,3
237155.147237155,49.276422,7.0329183,4
237155.148237155,49.2270846,7.0207438,0
237155.148237155,49.2257493,7.0355784,1
237155.148237155,49.2375428,7.0561765,2
237155.148237155,49.2547174,7.0403373,3
237155.148237155,49.276422,7.0329183,4
237155.149237155,49.2270846,7.0207438,0
237155.149237155,49.2257493,7.0355784,1
237155.149237155,49.2375428,7.0561765,2
237155.149237155,49.2547174,7.0403373,3
237155.149237155,49.276422,7.0329183,4
237155.150237155,49.2270846,7.0207438,0
237155.150237155,49.2257493,7.0355784,1
237155.150237155,49.2375428,7.0561765,2
237155.150237155,49.2547174,7.0403373,3
237155.150237155,49.276422,7.0329183,4
237155.151237155,49.2270846,7.0207438,0
237155.151237155,49.2257493,7.0355784,1
237155.151237155,49.2375428,7.0561765,2
237155.151237155,49.2547174,7.0403373,3
237155.151237155,49.276422,7.0329183,4
237155.152237155,49.2270846,7.0207438,0
237155.152237155,49.2257493,7.0355784,1
237155.152237155,49.2375428,7.0561765,2
237155.152237155,49.2547174,7.0403373,3
237155.152237155,49.276422,7.0329183,4
237155.153237155,49.2270846,7.0207438,0
237155.153237155,49.2257493,7.0355784,1
237155.153237155,49.2375428,7.0561765,2
237155.153237155,49.2547174,7.0403373,3
237155.153237155,49.276422,7.0329183,4
237155.154237155,49.2270846,7.0207438,0
237155.154237155,49.2257493,7.0355784,1
237155.154237155,49.2375428,7.0561765,2
237155.154237155,49.2547174,7.0403373,3
237155.154237155,49.276422,7.0329183,4
237740.01237740,49.2433789,7.0118103,0
237740.01237740,49.2401746,7.0000431,1
237740.01237740,49.2385384,6.9979364,2
237740.01237740,49.2402327,6.9898115,3
237740.01237740,49.2402489,6.9845333,4
237740.01237740,49.2391441,6.9797631,5
237740.01237740,49.2393151,6.9747373,6
237740.01237740,49.2336659,6.9737619,7
237740.02237740,49.2433789,7.0118103,0
237740.02237740,49.2401746,7.0000431,1
237740.02237740,49.2385384,6.9979364,2
237740.02237740,49.2402327,6.9898115,3
237740.02237740,49.2402489,6.9845333,4
237740.02237740,49.2391441,6.9797631,5
237740.02237740,49.2393151,6.9747373,6
237740.02237740,49.2336659,6.9737619,7
237740.03237740,49.2433789,7.0118103,0
237740.03237740,49.2401746,7.0000431,1
237740.03237740,49.2385384,6.9979364,2
237740.03237740,49.2402327,6.9898115,3
237740.03237740,49.2402489,6.9845333,4
